country,city,cityLabel,population,mayor,mayorLabel,genderLabel,birth,age,start_date,duration,birth_country,birth_countryLabel,birth_city,birth_cityLabel,city_lon,city_lat,birth_city_lon,birth_city_lat,distance
Denmark,http://www.wikidata.org/entity/Q27119,Kolding,58757.0,http://www.wikidata.org/entity/Q12320941,Jørn Pedersen,male,1968-04-18,50.0,2009-01-01,9,http://www.wikidata.org/entity/Q35,Denmark,http://www.wikidata.org/entity/Q2517265,Sønder Stenderup,9.472222222,55.490833333,9.6136,55.4611,9533.11754338732
Denmark,http://www.wikidata.org/entity/Q154897,Aabenraa,15967.0,http://www.wikidata.org/entity/Q16065244,Thomas Andresen,male,1964-07-16,54.0,2013-01-01,5,,,,,9.418055555,55.044444444,,,
Denmark,http://www.wikidata.org/entity/Q21176,Viborg,40371.0,http://www.wikidata.org/entity/Q17986828,Torsten Nielsen,male,1967-03-05,51.0,2014-09-03,4,http://www.wikidata.org/entity/Q35,Denmark,http://www.wikidata.org/entity/Q2675783,Q2675783,9.4,56.45,9.2281,56.4758,10979.281679114696
Denmark,http://www.wikidata.org/entity/Q1748,Copenhagen,602481.0,http://www.wikidata.org/entity/Q113921,Frank Jensen,male,1961-05-28,57.0,2010-01-01,8,http://www.wikidata.org/entity/Q35,Denmark,http://www.wikidata.org/entity/Q2741864,Ulsted,12.568888888,55.676111111,10.2547,57.0758,211482.43743870576
Netherlands,http://www.wikidata.org/entity/Q2766547,'s-Hertogenbosch,143782.0,http://www.wikidata.org/entity/Q2796885,Jack Mikkers,male,1968-09-02,50.0,2017-10-15,1,http://www.wikidata.org/entity/Q55,Netherlands,http://www.wikidata.org/entity/Q2652133,Heeze,5.316666666,51.7,5.5683,51.3825,39403.009238619474
Netherlands,http://www.wikidata.org/entity/Q47887,Nijmegen,172063.0,http://www.wikidata.org/entity/Q2407958,Hubert Bruls,male,1966-02-06,52.0,2012-05-21,6,http://www.wikidata.org/entity/Q55,Netherlands,http://www.wikidata.org/entity/Q9787,Nuth,5.85,51.833333333,5.883333333,50.916666666,102010.5606451126
Netherlands,http://www.wikidata.org/entity/Q803,Utrecht,343779.0,http://www.wikidata.org/entity/Q2216667,Jan van Zanen,male,1961-09-04,57.0,2014-01-01,4,http://www.wikidata.org/entity/Q55,Netherlands,http://www.wikidata.org/entity/Q9954,Purmerend,5.115555555,52.088888888,4.963888888,52.505,47443.94684788659
Netherlands,http://www.wikidata.org/entity/Q727,Amsterdam,851573.0,http://www.wikidata.org/entity/Q1366279,Jozias van Aartsen,male,1947-12-25,71.0,2017-12-04,1,http://www.wikidata.org/entity/Q55,Netherlands,http://www.wikidata.org/entity/Q36600,The Hague,4.9,52.383333333,4.3175,52.084166666,51883.097123743486
Netherlands,http://www.wikidata.org/entity/Q749,Groningen,200952.0,http://www.wikidata.org/entity/Q2156366,Peter den Oudsten,male,1951-10-24,67.0,2015-01-01,3,http://www.wikidata.org/entity/Q55,Netherlands,http://www.wikidata.org/entity/Q25390,Leeuwarden,6.55,53.216666666,5.783333333,53.2,51257.09464068904
Netherlands,http://www.wikidata.org/entity/Q9920,Haarlem,159134.0,http://www.wikidata.org/entity/Q2510518,Jos Wienen,male,1960-10-03,58.0,2016-09-21,2,http://www.wikidata.org/entity/Q55,Netherlands,http://www.wikidata.org/entity/Q222220,Ridderkerk,4.640555555,52.380277777,4.6,51.866666666,57216.809205921505
Netherlands,http://www.wikidata.org/entity/Q34370,Rotterdam,631155.0,http://www.wikidata.org/entity/Q401107,Ahmed Aboutaleb,male,1961-08-29,57.0,2009-01-05,9,http://www.wikidata.org/entity/Q1028,Morocco,http://www.wikidata.org/entity/Q2545676,Beni Sidel,4.479166666,51.930833333,-3.11667,35.1333,1962040.0778708167
Netherlands,http://www.wikidata.org/entity/Q9832,Eindhoven,221402.0,http://www.wikidata.org/entity/Q1944545,John Jorritsma,male,1956-01-01,62.0,2016-09-13,2,http://www.wikidata.org/entity/Q55,Netherlands,http://www.wikidata.org/entity/Q3291153,Bolsward,5.484166666,51.434444444,5.521403,53.061797,181096.69636143706
Netherlands,http://www.wikidata.org/entity/Q9822,Breda,182148.0,http://www.wikidata.org/entity/Q2677588,Paul Depla,male,1965-04-17,53.0,2015-03-16,3,http://www.wikidata.org/entity/Q55,Netherlands,http://www.wikidata.org/entity/Q9832,Eindhoven,4.775,51.5875,5.484166666,51.434444444,52094.564302986444
Netherlands,http://www.wikidata.org/entity/Q166065,Lelystad,76810.0,http://www.wikidata.org/entity/Q1996729,Ina Adema,female,1968-06-03,50.0,2016-09-13,2,http://www.wikidata.org/entity/Q55,Netherlands,http://www.wikidata.org/entity/Q727,Amsterdam,5.483333333,52.516666666,4.9,52.383333333,42343.4962693895
Netherlands,http://www.wikidata.org/entity/Q83178,Almere,198315.0,http://www.wikidata.org/entity/Q3037436,Franc Weerwind,male,1964-09-22,54.0,2015-01-01,3,http://www.wikidata.org/entity/Q55,Netherlands,http://www.wikidata.org/entity/Q727,Amsterdam,5.225555555,52.375833333,4.9,52.383333333,22184.591975964107
Netherlands,http://www.wikidata.org/entity/Q36600,The Hague,515880.0,http://www.wikidata.org/entity/Q3259044,Pauline Krikke,female,1961-05-09,57.0,2017-01-01,1,http://www.wikidata.org/entity/Q55,Netherlands,http://www.wikidata.org/entity/Q23070,Sneek,4.3175,52.084166666,5.666666666,53.033333333,139737.976490888
Netherlands,http://www.wikidata.org/entity/Q9783,Roermond,57308.0,http://www.wikidata.org/entity/Q2856027,Rianne Donders-de Leest,female,1960-07-22,58.0,2015-01-30,3,http://www.wikidata.org/entity/Q55,Netherlands,http://www.wikidata.org/entity/Q9832,Eindhoven,5.9875,51.194166666,5.484166666,51.434444444,44115.082578376394
Netherlands,http://www.wikidata.org/entity/Q52101,Middelburg,47939.0,http://www.wikidata.org/entity/Q1852058,Harald Bergmann,male,1965-09-23,53.0,2012-08-27,6,http://www.wikidata.org/entity/Q55,Netherlands,http://www.wikidata.org/entity/Q34370,Rotterdam,3.613611111,51.499722222,4.479166666,51.930833333,76675.7906245064
Netherlands,http://www.wikidata.org/entity/Q26430,Tilburg,46517.0,http://www.wikidata.org/entity/Q1891315,Theo Weterings,male,1959-04-18,59.0,2017-11-28,1,http://www.wikidata.org/entity/Q55,Netherlands,http://www.wikidata.org/entity/Q26430,Tilburg,5.07,51.57,5.07,51.57,0.0
